,Filename,text,language
0,mal_0001.wav,Eid Nutan Duggal Parakh mallavarapu Radha Ramana,malyalam
0,mal_0002.wav,Kollam and navakal Vivek Shiksha Una only Lathi gum karyangal unda,malyalam
0,mal_0003.wav,Gyan ki lekhanam English Vakil tarjuma,malyalam
0,mal_0004.wav,P School Anna vidyabyasa 57 angle,malyalam
0,mal_0005.wav,Aadha idhar October model December,malyalam
0,mal_0006.wav,aandhiyon kya suriyani orthodox Sabha khiri,malyalam
0,mal_0007.wav,Sunil ji Paranthe wale Haryana Rinku Vedam reference Poland,malyalam
0,mal_0008.wav,Aadhya Guru Adhyaksh Sachin Kanya,malyalam
0,mal_0009.wav,kalikotta Enna Oru IP,malyalam
0,mal_0010.wav,Malayalam Wikipedia Ud audyogik ka Niyam kanungo,malyalam
0,mal_0011.wav,Hawa aur trics paulastya Sabha and yogya suriyani orthodox Sabha,malyalam
0,mal_0012.wav,cheray enale nilavil kannigal,malyalam
0,mal_0013.wav,March model Juma Aate Islami singhada akhilendia president,malyalam
0,mal_0014.wav,itaram Oru samvadam evideyum ka naam,malyalam
0,mal_0015.wav,Anand Murali party Mathur School,malyalam
0,mal_0016.wav,Chennai Chaddi Arya padane Suvarna Orange in AP,malyalam
0,mal_0017.wav,delavar Shivam April mathathil Puram nadakkunnu,malyalam
0,mal_0018.wav,poll rubber code Krishi cheyyunnu,malyalam
0,mal_0019.wav,masatana lingle Aditya Banda,malyalam
0,mal_0020.wav,Fida K7 Aasan Madhav Mani Amma,malyalam
0,mal_0021.wav,Kottayam Jilla kirukkan malayoram Ek Lele Pradhan Patna,malyalam
0,mal_0022.wav,katholika Sabha pragaram Aditya Maar papa,malyalam
0,mal_0023.wav,lekhan English Pardeep,malyalam
0,mal_0024.wav,Eid India Aditya I,malyalam
0,mal_0025.wav,Anu Malik Malayalam wiki sontham chithrangal matrame padulu in,malyalam
0,mal_0026.wav,user page redirect chahie Sath Kila,malyalam
0,mal_0027.wav,Kerala Bhasha Institute Thiruvananthapuram Kerala,malyalam
0,mal_0028.wav,Gyan ka number old model,malyalam
0,mal_0029.wav,Uda keralathinte thalasthanam Thiruvananthapuram,malyalam
0,mal_0030.wav,Ithu Pol Oru samvidhanam Namak Malayalam Wiki le mundakan pattumo,malyalam
0,mal_0031.wav,vyakti my karanangal hilaade Aaye M Block chahie innovaccer,malyalam
