,Filename,text,language
0,tam_0001.wav,Etawah se nikal Kar De Naal Enge Teri uncle uncle,tamil
0,tam_0002.wav,thoda Bade katturaigal in the pakka pagal adangum,tamil
0,tam_0003.wav,melek repeat Ondra Renda moondra antha,tamil
0,tam_0004.wav,Sindhu Nadi India Pakistan aagya Nadu kadaloram mukhya nadi,tamil
0,tam_0005.wav,Gandhinagar Ullah polpette about Aalayam Agam,tamil
0,tam_0006.wav,Srinivasan Ek Atul velivantha Theri padathil Sivaji Ganesan KR Vijaya matrum padam,tamil
0,tam_0007.wav,arupadai thirutham seiyum pothu,tamil
0,tam_0008.wav,Balachander ya Qatil velivantha Theri padathil Rajinikanth Kamal Hassan padam,tamil
0,tam_0009.wav,Krishnan Panchayat velivantha Theri padathil Sivaji Ganesan Rajendran padam,tamil
0,tam_0010.wav,yaar kam Mata Karte randal cinema theatre Kollam,tamil
0,tam_0011.wav,in the middle munnetram airport to variant whether any crane,tamil
0,tam_0012.wav,Ramki Selva pandavargal,tamil
0,tam_0013.wav,Tamil tell adimurai asiriyar Siva Subramaniam Padam Nagar Kovil,tamil
0,tam_0014.wav,sirf per hi Iran Tamilnadu utpadan in India,tamil
0,tam_0015.wav,Manjal Cena win,tamil
0,tam_0016.wav,Apradhi aur kiye Eid ul Adha,tamil
0,tam_0017.wav,europium in a river,tamil
0,tam_0018.wav,Gopalakrishnan Katil velivantha Theri padathil Jai Shankar naditha padam,tamil
0,tam_0019.wav,ungli Edward makeover magalchi adikirathu,tamil
0,tam_0020.wav,ulagin Mudhal Murai,tamil
0,tam_0021.wav,Manila Killa main dealer Coimbatore Mavattam irukum Porur,tamil
0,tam_0022.wav,which in brother megalis Sonam Khuda,tamil
0,tam_0023.wav,your other mother Kavithai Tiruvannamalai,tamil
0,tam_0024.wav,operational 1rm tele villai parents,tamil
0,tam_0025.wav,advocate Kannada America 15 nodigal interval sattangal,tamil
0,tam_0026.wav,anal Wikipedia aur Agra dealer,tamil
0,tam_0027.wav,NIT yaar medium I am alive,tamil
0,tam_0028.wav,in the katturaigal,tamil
0,tam_0029.wav,Holi note per ringer girl kurta katturai padangal,tamil
0,tam_0030.wav,Eid katturai in ulladakkam irukum pothu Tamil Kathaigal irukum,tamil
0,tam_0031.wav,Ravi Behl on my katturaigal name girls all weather well on my katturai,tamil
0,tam_0032.wav,Kendriya Vidyalaya librarian,tamil
0,tam_0033.wav,Kaveri 10 India win Mukhiya,tamil
0,tam_0034.wav,we will Tamil patriya katturai Parthen,tamil
0,tam_0035.wav,balachandraya Katil velivantha Theri padathil Kamal Hassan Sridevi mathampalayam,tamil
0,tam_0036.wav,Samyak 12113 padathil Sivaji Ganesan Ramaswamy mathampalayam,tamil
0,tam_0037.wav,Theri padangal mid mission the ID padakunda Rao mathampalayam,tamil
0,tam_0038.wav,Tirupati Hamari bahut hi ladkiyan Anil Mishra Mukhiya,tamil
0,tam_0039.wav,Nandini Sundar silver Ravi Ganesh,tamil
0,tam_0040.wav,IKEA America Vin Tech Park real,tamil
0,tam_0041.wav,yah pagal Aditya Rawal oviyangal karna padega,tamil
0,tam_0042.wav,Tamil Elam aangila padam padam,tamil
0,tam_0043.wav,Ayarpadi and printer Kollam,tamil
0,tam_0044.wav,ramati in Perundurai coronavirus in brother in corrector,tamil
0,tam_0045.wav,sirantha Tamil chol,tamil
0,tam_0046.wav,Oru madam Tere i n terms,tamil
0,tam_0047.wav,tabhi raha hai Adhura an average adhikara purv theorem,tamil
0,tam_0048.wav,Rao ya Qatil very Bandar Theri padathil Rao mathampalayam,tamil
0,tam_0049.wav,your repairing mattam Thalaiva Mein udane wala my parents,tamil
0,tam_0050.wav,inum inum circle Vendum Tamil Tamil sattam,tamil
