,Filename,text,language
0,000575_text_18198.wav,Nandanam Siya will I ever done even if they say to courier irukkirathu vanthirukirar Kural kodutha kunjum ke today live,Tamil
0,001147_text_22515.wav,avakasa ki Punam Sila Naal Gallan Bin Tere,Tamil
0,001225_text_26945.wav,in the workshop Pal Minsara cell Kudiyan,Tamil
0,001622_text_2007324.wav,niche Mein Makan in the mudhalali shaktigarh Varalaru Enna Solla Enna Solla yethu Solla Desam Ithu Enna Ithu Enna Puthu,Tamil
0,002249_text_30999.wav,ithayam year ke aage Ninda ponalum siragai virikkum sadhanangal in train in Tamil pacemaker idhar a Maker pacemaker,Tamil
0,003087_text_15713.wav,Fira narayanapura thiruvilavil pothu Iranian pallakku Naam Iruvar Oru Murai Enna paarthu palak paneer in Telugu,Tamil
0,003353_text_03910.wav,Andhra Pradesh Centre Hassan,Tamil
0,003494_text_27299.wav,veergarh Nehru in nikumbh Sivan Tamil Thiruvilayadal,Tamil
0,004267_text_02197.wav,Chinna Thambi Thina valthukkal,Tamil
0,004308_text_32497.wav,lekin Mundal Mata aruvai sigichai Christian Bernard,Tamil
0,005437_text_1609821.wav,Siddhar Padalgal Sumar path Padalgal Indian literature rail gadi Kanna nidurinchara,Tamil
0,005529_text_21784.wav,iruthi pathinaru vayathinile aangila padam Central,Tamil
0,007225_text_33682.wav,idyllic queen and Rasayan attack Malaria hue gunamakkum maruthuva gunangal,Tamil
0,007658_text_04151 (2).wav,Bhubaneswar 23 Jan 17 Vaidik Aryan Ram,Tamil
0,007724_text_24771.wav,Ayodhya Nagar ka Kunda Ko Salam Naat a sakti and and and and,Tamil
0,007814_text_17705.wav,n i v a Shiva Shiva Unnai Naan sagiren in the prasadam in Tirupati,Tamil
0,008071_text_26678.wav,irupatham noottandu Denmark in Mandalam Harold Mannan piragum,Tamil
0,008180_text_13047.wav,ya nahin Hun Main Agar Parvati Jaat chahie ya nikal,Tamil
0,008336_text_29634.wav,and the parrot in pair arogyapacha in Malayalam,Tamil
0,008600_text_1596107.wav,Mughal in chirkunda Parvati younger nirangalil flextime flex location selling point Nangal,Tamil
0,008997_text_01032 (2).wav,H B Udan TV Pratapgarh,Tamil
0,009271_text_10812.wav,ennavendru NIT Tina ungalai Marupadiyum Andhra veerashaiva parthal Athu,Tamil
0,009292_text_04749.wav,rajasimman interview citizen and the toteteca Vandan,Tamil
0,009292_text_26793.wav,edit edit edit with selfie with a,Tamil
0,009676_text_22085.wav,April ka petrol live,Tamil
0,009938_text_26790.wav,Minu Roy ka Peer cartoon cycle wala kambaramayanam petrol,Tamil
0,010450_text_27990.wav,our Gudiya by Murthal Calicut Oru Puram Puram covid-19,Tamil
0,010946_text_24504.wav,open the correct amodep at the pole kadan manithargal anaivarum urangidum Ennum Varum poluthu,Tamil
0,011626_text_631807.wav,cal beekeeping bado slideshow kar cartoon girl vivarane padangal Mathura Holi Shadnagar moolam pereda vilipunarvu Kalyan Nagar Metro gramangalil naditha padam Vendum,Tamil
0,011906_text_911589.wav,Muthu palagaram patriket kirar enbathu pothu Enna Prakash Raj Bhavan Kolkata Sonar party,Tamil
0,011946_text_28177.wav,Madina Ram note randall Spain and Philip Aranmanai,Tamil
0,012313_text_07879.wav,Kumar sakravarthi Kata Nigam and Wonder woman in the city avasiyam Tamil kuthu,Tamil
0,012835_text_1293261.wav,Edward Syed Homi Bhabha Hassan Gayatri Chakravorty spivak synnova acchi B N Singh,Tamil
0,012980_text_24708.wav,laddu sowkiyama indicator laddu in that activate labrador in pair,Tamil
0,013789_text_31833 (2).wav,ya nahin devil Ho Gai ya nahin iravatham Pol bed Le Gai Re,Tamil
0,014390_text_26770.wav,udaharan trick hyper in Swarnim matrum insulin Tadap Naal paathu paathu Kangal etrum Ithu Enna Ithu Enna Puthu Vidha wala chicken wala,Tamil
