,Filename,text,language
0,mar_0001.wav,Karan applicad padhna hi,marathi
0,mar_0002.wav,Prachin Bhartiya arthvyavastha ATI Sundar hoti,marathi
0,mar_0003.wav,Akash repeat Lele 100 Nahin Hindi Marathi uchar Bridge start,marathi
0,mar_0004.wav,Kaki visheshta Haryani prerit aajkal Bharat camilo ka Shapath,marathi
0,mar_0005.wav,Ashok ka Lekh as take a soon over Chandrayaan 2,marathi
0,mar_0006.wav,swatacha sadasya panavar Arshi Sahi karne Chi Garaj nahi,marathi
0,mar_0007.wav,England Ja guitar Vijay Murugun dusra prerit Pravesh kela,marathi
0,mar_0008.wav,hi Dhyan Aaj gehun Tula Je yogya vatel tekar,marathi
0,mar_0009.wav,Karnataka cable Kannad adhikrut aahe,marathi
0,mar_0010.wav,Manjeet Bhartiya Bhasha Marathi wikipedia dusra kramank Karva aahe,marathi
0,mar_0011.wav,Brahmani sarvoch golandaj Jiwaji sarvottam golden darzee pahije,marathi
0,mar_0012.wav,Pune ke mahatva audyogik Kendra aahe,marathi
0,mar_0013.wav,Pune Shahar Hai Maharashtra rajyachi sanskrutik Rajdhani Mein Uda Ke Le Jaate,marathi
0,mar_0014.wav,Chhatrapati Shivaji Maharaj yancha Patni,marathi
0,mar_0015.wav,Wikipedia Ek gyankosh aahe,marathi
0,mar_0016.wav,pop claimant parts were still pop Hota,marathi
0,mar_0017.wav,Jaan andar Deni Bhat sheti Kala kaushallya villain,marathi
0,mar_0018.wav,paudhe Uchch Shiksha Aarti Germany La Galiyan,marathi
0,mar_0019.wav,hi kagadpatra aahe Saccha Desh Mahiti Australia Vishay,marathi
0,mar_0020.wav,Karan Tu Majhi Aai,marathi
0,mar_0021.wav,angreji Bhasha aahe Roman Lipi aahe,marathi
0,mar_0022.wav,Ghar deta na sarvpratham Marathi mansala pradhanyam,marathi
0,mar_0023.wav,Hanumangarh Shahar Achcha Mahiti Sathi per Hanumangarh,marathi
0,mar_0024.wav,mukhya manager kya panavar aapli Sahi Karun ne pe Charcha pahne hue,marathi
0,mar_0025.wav,chumbakiya Kshetra Nirman karnai Kundli vastu athva padarth,marathi
0,mar_0026.wav,maja Charcha wala hichki Mali star,marathi
