,Filename,text,language
0,kan_0001.wav,America Samyuktha samsthana samvidhana dinacharane,kannada
0,kan_0002.wav,Caribbean samudrada purv Bhag dalli iruva 123 par rashtra,kannada
0,kan_0003.wav,Uttar America Kannada Chika Madhu atyant janasankya,kannada
0,kan_0004.wav,aur aksharagalu hi gaye conceited aur aksharagalu,kannada
0,kan_0005.wav,Shivarajkumar Awara Patni hesaru Geeta Shivarajkumar,kannada
0,kan_0006.wav,Philippines ganaraja agneya Disha,kannada
0,kan_0007.wav,audyogik ka Kshetra dalli Aawara Ananya,kannada
0,kan_0008.wav,America the Washington Delhi river Kaveri Sanskriti ka some stare Adhyaksh daru,kannada
0,kan_0009.wav,Mysore Vishwavidyalaya bharatada pramuka Vishwavidyalay,kannada
0,kan_0010.wav,template andar Nenu prashna Telugu barabahude,kannada
0,kan_0011.wav,Vandu Sarkari prathamika Mattu prouda shaale,kannada
0,kan_0012.wav,Samyukta Karnataka karmaveera Kasturi Patrika Gali ke sampadak Karegi daru,kannada
0,kan_0013.wav,jeevanahalli kellava Matra hili Kodala geet,kannada
0,kan_0014.wav,matar Kalu hesarina lekhan neevu prarambh,kannada
0,kan_0015.wav,mogal simhasana domale sambandhi,kannada
0,kan_0016.wav,itihasik aavegi prasiddh Navada Anaika sthalagalu Hindi mein,kannada
0,kan_0017.wav,other in the footer horror Bandhu,kannada
0,kan_0018.wav,Churchgate na Pradhan Railway kachery,kannada
0,kan_0019.wav,Janapada Janapada Academy prashasti Rajyotsava prashasti mangalada prashasti galu,kannada
0,kan_0020.wav,Madikeri Kodagu Zilla Urdu taluku Jila Kendra,kannada
0,kan_0021.wav,Paschim Bangal ka Pratham Mahila mukhyamantri,kannada
0,kan_0022.wav,Kannada chalanachitra nirdeshak AV Sheshagiri Rao,kannada
0,kan_0023.wav,moon Lata Uttara Paschim Madhya Madhya Europe,kannada
0,kan_0024.wav,are Chitra gallon Kannada Wikipedia dalli upyog Sudhu Sulabha,kannada
0,kan_0025.wav,Nirmala yah prashn putter Bahra oldje prayatna,kannada
0,kan_0026.wav,prachina Chitradurga PHD mahaprabandhak,kannada
0,kan_0027.wav,MI door deliver karnatakada Urdu Itihaas,kannada
0,kan_0028.wav,yahoodi Dharma delena Pramukh dharmika Granth,kannada
0,kan_0029.wav,Shri Devara Jyoti Gaddi da geleyaru professor Narasimha 4 Kasturi Ranga 402,kannada
0,kan_0030.wav,Everest Sangeeta nirdeshana da modala Kannada Chitra,kannada
0,kan_0031.wav,Rajkumar Jeevana Jago Sadhana kuritu pralaad bareda bangarada manushya atyant Janapriya pustak,kannada
0,kan_0032.wav,idhar Ali hello lekhak Aru Sanskrit Mein To kannadadalli,kannada
0,kan_0033.wav,Vishnuvardhan abhineta kelavu prasiddh chitragalu,kannada
0,kan_0034.wav,Aadarsh Inter Vidya Mana Balu aparoopa,kannada
0,kan_0035.wav,Eid halmidi shasana n do prasiddh,kannada
0,kan_0036.wav,Maurya Samrajya da-ati prasiddh Chakravarti Samrat Ashoka adalita,kannada
0,kan_0037.wav,Kannada Janapriya lekhak ki Usha navarathnaram,kannada
0,kan_0038.wav,hindu dharm Ada souramana Panchangam,kannada
0,kan_0039.wav,Idhu Telugu hadaya sadasya Anubhava,kannada
0,kan_0040.wav,are there other Bhagya aralikatti Uttam,kannada
0,kan_0041.wav,Hisar uska papa ji ki Puta da avashya Kathe aaega iruvathu,kannada
0,kan_0042.wav,Hari Hara Ooru Davanagere Jile Bondhu taluku Kendra,kannada
0,kan_0043.wav,bgl Swamy devaru bareda pustaka,kannada
0,kan_0044.wav,Dakshina Kannada Jilla Urdu Dharmik Katha,kannada
0,kan_0045.wav,Idhu Kannada Wikipedia samuday Putta,kannada
0,kan_0046.wav,Eid Vandu Sharan bus maloha,kannada
0,kan_0047.wav,Sikh Dharma da Bhagya lekhanagar Warga,kannada
0,kan_0048.wav,Bala Subramanyam Manjula Gururaj Latha hamsalekha,kannada
0,kan_0049.wav,Usha navarathnaram Aawara Zarina Kadambari adaritha,kannada
0,kan_0050.wav,say na Puraskar Serena lekhan navannu new prarambh,kannada
0,kan_0051.wav,Akruti Dr shivarama karanth Taru bareda samajika Kadambari Galli Urdu,kannada
0,kan_0052.wav,Uttar dalli Bheema Nadi Madhu Dakshina Delhi Krishna Nagar Hari Uttar,kannada
0,kan_0053.wav,Kannada Chitrangada in Janapriya nashta Shrinath samaipathu Bandhu,kannada
0,kan_0054.wav,email in a year to salugalu Namma nimma Charcha,kannada
0,kan_0055.wav,Marathi in the house taiyar ke Bhagya sanshodhan aduthu,kannada
0,kan_0056.wav,Bharata athva India Indu karayalle padva Dakshin Disha,kannada
0,kan_0057.wav,Chada Chada Raja Kuda Vishnuvardhan and Indu avaru Tamma samarthi second,kannada
0,kan_0058.wav,Rajkumar Kannada Pramukh natak,kannada
0,kan_0059.wav,Hassan ajile aithihasika dharmika Pravasi Tana,kannada
0,kan_0060.wav,Shivamogga Jilla Sagara Taluk,kannada
0,kan_0061.wav,modala Mathu Mysore Yuddha,kannada
0,kan_0062.wav,Uttar order Himalaya Pradesh Delhi debate Sanskriti chapu Kandu Varudu,kannada
0,kan_0063.wav,Upendra nirdeshana da Kannada chalanachitra Om Bhagya Mahiti ke ilake,kannada
0,kan_0064.wav,matar Kalu padovano lekhan Agali ki,kannada
0,kan_0065.wav,Mughal Samrajya Zarina lekhan neevu prarambh,kannada
0,kan_0066.wav,Bengaluru Reena Bhartiya Vigyan Sansthan vinyasa Pardesi 2,kannada
0,kan_0067.wav,prant sarkarada athyunnatha nagarika Puraskar,kannada
