,Filename,text,language
0,000929_text_001492.wav,Dharma Karma the KB Manik Roman notiki bad portal,Bangla
0,001015_text_000895.wav,Kintu 80 chikitsa Ayurvedic aushadh hi Maher Chura Mat Ro,Bangla
0,001849_text_002337.wav,Kim badauli ammankulam reaction,Bangla
0,002281_text_002561.wav,if Desire ke sahayata kothiye Agni Suraksha aur Meetha abhi Jaoge Oppo doston kholen,Bangla
0,002432_text_001991.wav,Kolkata Pratham khelta shomoy Bhushan ITI uthai ho to Pratidin,Bangla
0,003006_text_005651.wav,Imtiaz Robi Jo Pakistani Shikha vyavastha Murthy Nahin Munh Bij,Bangla
0,004942_text_004279.wav,banci bethania boy Thug bhejte Galo staff reporter Kolkata,Bangla
0,005301_text_005862 (2).wav,Karu Karu Shobar Ghor Barud Baji to pakhare Rakha,Bangla
0,005599_text_002772.wav,Bengali Brahmin Bunty 3 Aarush ab dip,Bangla
0,006139_text_001882.wav,Tripura rajpuri Barish song Rabindranath Ashok Thakor Sabari Jana,Bangla
0,006497_text_002968.wav,Nathu bavji pavakoothu Hona Juda in Murthy Vishesh Pathak ko avastha ke naam,Bangla
0,006722_text_002580.wav,Ganga Bhagirathi shendurjana Pori kolpona Tu kuthe kuthe hoti,Bangla
0,006807_text_003662 (2).wav,Kallu moosi ki Nirahua ki ration Shahrukh Preity safalta,Bangla
0,006847_text_005462.wav,Delhi based on aggregate is D Kalo Kore Khai Thokar Puspa,Bangla
0,007052_text_001940.wav,Golf Jyada Bhalobashi and snooker rugby football are cricket,Bangla
0,007381_text_001298.wav,Karun dukane roll School Se Koi Na Thakle she going to you that,Bangla
0,008229_text_005550.wav,Aaj bikele not block e Mohan 3A prashne Uttara Wallen adenoid,Bangla
0,008579_text_002701.wav,murgi bar Khasi mangsho Jai Ho Chor bhi Basa tha class 8,Bangla
0,008619_text_005446.wav,any bolun boxer hisab Amar Dekha Shop 19 Store,Bangla
0,008735_text_001546.wav,Kintu action ke hajar Bolt Hawa badole Ke Naam,Bangla
0,008901_text_005861.wav,Britain ke aage Gurudas uchit to brother nivedan Mod De Dele Dhokha aalochana Karen,Bangla
0,009352_text_001143.wav,Kaise Din Madhya Mein Sharda Mai Amritwani Urvashi to aluguthu Chhori kaun the,Bangla
0,009594_text_003892.wav,Bani Chi kimat show khincha Goshti Puja Shankar Prakash Udyog ki hai,Bangla
0,009787_text_002923.wav,Oppo the ke Cheetah Bagh breaker hone Uttam to Nipun anusuchi ka rape Arangam,Bangla
0,009884_text_002013 (2).wav,ki Kotha bolte bolte par Siddiqui Shastri Rahul,Bangla
0,010580_text_000810.wav,Sur mukhosh Nayan Purulia Amrit Shilpa Anand Darshan nivedan Kurukshetra,Bangla
