,Filename,text,language
0,000067_tel_1773.wav,Kiran cinema Lo Khuda Chittoor nagriya kathanayakudu,Telugu
0,000108_S0118_0007.wav,Shahganj local Repo Hindi Inka Sargam Undi Kani Papa bramhan inke Mein Raju Gari gadhi 2,Telugu
0,000184_S0098_0005.wav,vyapari delavery Leti Chintamani Biotech Ki Rani interior jamaniya Kari Court,Telugu
0,000298_S0004_0027.wav,play the day Manav enthavadu entha viswasa patruda anukuntunnaru jamindaru Bhari Kahani 120 Rajasthan,Telugu
0,000307_tel_0380.wav,January Mirchi Jila Loafer D Mandi,Telugu
0,000363_tel_1507.wav,Kadapa jilla Andhra Pradesh Loni Jilla,Telugu
0,000491_S0049_0016.wav,idhar aa Mithun gane sangati sandharbha Lootera Magadheera ki Putri ki Vivah Gari Hindi,Telugu
0,000710_S0053_0020.wav,17651 na santhosham agrahikkathathu Athadu kurangan,Telugu
0,001970_S0136_0004.wav,in Telugu Samantha Ruth Pindi Pindi Vantalu in b ki pothu Ammayi Guddi ki well as well,Telugu
0,002903_S0099_0021.wav,I pay neemchak bathani Venu Surya Bhagavan Nirmal Nirmal Mein Mirchi Ka Kulam Kulam Kavu Kavu Surya Bhagavan and To Ham paramananda,Telugu
0,003513_S0014_0003.wav,Nenu mood bhayankar Mahina Samudra se Intezar Karunga Kudi Thi Kuchh Nakoda Paryatan anubhavalu sampadinchadam Ranu Ranu entity in Hindi,Telugu
0,003539_tel_1448.wav,Prati pump se Tukur Sapna customer charging Mataram was first launched recently,Telugu
0,003643_S0209_0015.wav,dene ke viruddh leather aani pakshi prashn Jagah Leke me the event and it was invalid value Gunde varaku Silai Rajput Vichar,Telugu
0,003714_S0024_0030.wav,Idi modalu sukhe sukhe sukhe sukhe to do,Telugu
0,003790_S0210_0005.wav,it a waiter guntuku Saman younger adavallaku stomach Gani Gani Kuthu Attam Ada Nonu sikari sikari beta gand marte hue sea water,Telugu
0,004320_tel_1552.wav,Guru vyavastha yani ki prasiddh Hindi,Telugu
0,004904_S0013_0028.wav,bhojanalaya mukhya gane Hindu Matha Garba Garba madam kevali pravesinchandi Army Kosam vechi Unna in Hindi,Telugu
0,005252_S0001_0015.wav,ki Lanka Lo lokapada Nagar munnadi Ghoda Ghoda Lo dwara mitravinda Laga Laga Prem Singh Ji,Telugu
0,005757_S0031_0003.wav,Govinda ka gana do Agra Mane ki kam agri wooden work Ibrahim Pandit Pandit Sreekumar Mappila when Tan Tana Tan Tana,Telugu
0,006572_tel_2233.wav,me Rachna Saheli chala bagundi,Telugu
0,006630_tel_0872.wav,Darbhanga jagna aadhyatmik ka sadasya animated 248 Raat Mein Kaka production chal jindabad Yatra ki,Telugu
0,006700_S0046_0005.wav,Nach jarigina sanghatana cheppindi and thawaini todelu Bhagya ke vichar Wadala East,Telugu
0,006732_S0086_0013.wav,inthakanna Manchi Dhani Mantri Gudi ki manushulanu pump anthahpuramlo YouTube,Telugu
0,006913_tel_0201.wav,Undertaker ka Prabhu Dhyan CA 20 Gati hamila winter leni Tata Power Kuchh Dena senior Adhikari hokar Vyakhya Nietzsche,Telugu
0,007301_S0080_0019.wav,so stoned gane Dharma parodia Sthan and Vinny today Eenadu Roja Roja ki Marathon event,Telugu
0,007583_S0099_0019.wav,Kasi Pandit Le no Anadi,Telugu
0,007663_S0107_0022.wav,sarvajith to Aaj jawab ko Chala Santoshi Aaina AAP party kapde Samantha ki katha,Telugu
