,Filename,text,language
0,000173_f0492 (2).wav,you reached the spot as fast as he could and was designed to see that his Arrow had a young human,English
0,000302_arctic_b0169.wav,he Drew a deep breath as he looked at them,English
0,000403_engtext_2152.wav,wait and see what I can do,English
0,001278_EM_01327.wav,it was to be there in the evening and the basis they had been speaking of it as they walked about hybrid the day before and Frank Churchill had most in Nestle laminated her absence,English
0,002223_arctic_a0122 (2).wav,2 years ago I give up Civilization for this,English
0,002231_arctic_a0219 (2).wav,at first he puzzled over something and toward he was sure had happened,English
0,002614_engtext_2307.wav,it is not good for a king like you,English
0,003142_e1009.wav,the spirit agreed to it and we were went home,English
0,004020_engtext_630 (2).wav,O voice Prince I will bring back to you one of your brothers which shall I bring set the water Sprite,English
0,004694_c0665.wav,these two brothers did all the cutting on the large farm,English
0,004700_engtext_2802.wav,explain that was asked crow and Turtle,English
0,004786_arctic_b0204 (2).wav,down Through The Perfume waited reflected the snowy flux of the cottonwoods,English
0,005046_text0353.wav,can we go would be hard to,English
0,005382_arctic_a0308 (3).wav,is informal chattering worries me even now as I think of it,English
0,006533_engtext_1370.wav,instantly replied Tenali Raman that was good to know mister Shastri that you are good in stupid poetry,English
0,006952_f0455.wav,Again by the Goddess for forgiveness and explain that one without the other would be of little use,English
0,007321_d1070.wav,he brought a split bamboo and began striking the food ball with it,English
0,008757_f0694.wav,Birbal went to his house and assembled all physical wins and asked that who stole the merchants things and everybody denied,English
0,008839_d0272.wav,the female crow ask the Jackal how the crab had killed the crane,English
0,010530_engtext_2560 (2).wav,the story of a grow and rat this course,English
0,010613_h0709.wav,girl side and said my stepmother practices Evil hearts and he does not like strangers,English
0,010867_engtext_3688.wav,your magnanimous conception has released me today from the Curse I am so happy,English
0,010942_d0549 (2).wav,without his blessings people will die even if they have protection,English
0,010997_c1082.wav,anyway all of these had come on your invitation and I am trying to fulfill my mother's last wish in this manner,English
0,011226_engtext_1721.wav,the king now began wearing himself about shaams intentions,English
0,012631_engtext_368 (2).wav,he said rocking I have learnt that a measure of rice is the value of my 500 horses,English
0,012760_arctic_a0069 (2).wav,it was his intention to return to alien and her father,English
0,012983_arctic_b0372.wav,Mr mcquaid told me about him,English
0,013285_arctic_b0004.wav,when I can't see beauty in women I want to die,English
0,013296_engtext_740 (2).wav,I will go with you to see the pond,English
0,014154_f0649.wav,nobody De to conspire against Birbal again,English
0,014328_f0457.wav,the god is relented and blessed him again with both the bones but she also want him that to be so blessed will make others in vs,English
0,014337_g0386.wav,elephant with enthane and sat on the ground,English
0,014345_bl_eng_14.wav,2 rupees 200 5 crore SLV 3 design to put the satellite into Orbit was purely experimental,English
0,015097_text1051.wav,10 have the wrong well done as prepared him for this day,English
0,015248_engtext_3429.wav,as penance head Clans time of all desires The Hunter burnt himself in a forest fire,English
0,015560_text0333.wav,hi Joseph thanks for the message,English
0,015670_d0333.wav,this is the story of the blue jackal,English
0,016276_text0366.wav,if I ever was someone,English
0,016408_d0909.wav,The Hunter came should the seeds and spread the net,English
0,016781_g0398.wav,the place totally devoid of Residence the mice began to live in the ruined houses,English
0,017344_arctic_a0582 (2).wav,lottery elaborated on the counting trick by bringing cocky along,English
0,017635_d0191.wav,Singh is this V Patel them if all your barring the great Chandran was won the kings famous,English
0,017647_arctic_a0490.wav,bhoot Johny and his mother shuffle their feet as they walked,English
0,018007_e0008.wav,from that day onwards people began calling him Peter meaning the same line he was reciting to go ever asked his name,English
0,018193_arctic_b0251.wav,they must have been swept away by the cutie currents,English
0,018748_EM_00754.wav,Bihar of being blocked at randis while her children were at hartfield was full in her imagination and financing the road to be now just possible for adventurous people in the state that admitted nodal a Jaega to have it settled that her father and Ammo should remain at randalls while she and her husband said forward instantly through all the possible accumulations of drifted Snow that might improve them,English
0,019759_f0064.wav,in the name of satisfying Ramayana recital she framed Twisty and wicked rules which made all the competitors lose in their Battle against the women,English
0,019854_c0729 (2).wav,yes the crane winton I was wishing I might do something for you,English
0,019861_engtext_1617.wav,the king summoned Vishnu Sharma and pleaded with him venerable scholar take pity on me,English
0,019896_b0144.wav,but there was no longer the mother running in his heart,English
0,020140_e0638.wav,she asked her husband to take care of the camp and went into the city with her maids to buy daily needs like rice salt butter oil and vegetables,English
0,020392_engtext_2021.wav,call told his lord lord we went to every NOOK and corner of the forest,English
0,020506_engtext_387 (2).wav,badhiya the rabbit ran after him begging to know what was the matter,English
0,020795_engtext_1737 (2).wav,I believe you,English
0,020923_text0187.wav,the given reason was zero differences most likely buyers,English
0,021585_c0063.wav,monkey he called come with me over to the island with the fruit is so ripe,English
0,022342_EM_00855.wav,it was rather too late in the day to sent about being simple minded and ignorant but she left her with every previous resolution confirmed of being humble and discreet and depressing imagination all the rest of a life,English
0,023223_arctic_a0486.wav,for the rest he was a Maja automaton,English
0,023337_e0276.wav,after making sure that they were far away from the Hunters reach the four friends gather in celebrated their reunion,English
0,023348_bl_eng_30.wav,studies were carried out at research Laboratories Universities and independent locations,English
0,025139_engtext_2326.wav,haven't the elders said that he who chases his welfare should not talk to a gambler or an inefficient work man,English
0,025213_EM_01206.wav,balls have the balls was it a musical society but when satisfied and all these points and their acquaintance proportionally advanced ki countries to find an opportunity while their two fathers were engage with each other after introducing his mother-in-law and speaking of a with so much handsome phrase so much warmer admiration so much gratitude for the happiness is secured to her father and her very kind reception of himself as was an additional proof of his knowing how to please and office certainly thinking it worthwhile to try to pleaser,English
0,025399_d0192 (3).wav,is powerful if you stop him you will never meet with the same fate resided at the hands of Chandan one day,English
0,025448_c0774.wav,why is it that Cruise torment the owls as they sleep in the daytime,English
0,025539_c0737.wav,if you don't believe me that the current send with me want to the fishes whom you can believe,English
0,025970_engtext_1615.wav,he is the most Competent Person to tutor your children,English
0,025998_engtext_227 (2).wav,then the man said I will never treat you badly again,English
0,026022_d1130.wav,he was thrilled by the sight of so much food and thought God has favoured me today,English
0,026401_engtext_2113 (2).wav,but you have to shut your mouth,English
0,026744_d1145.wav,she thought that nobody could and do God's will,English
0,027008_e0572.wav,the skies became clear with stars shining,English
0,027705_f0499.wav,both teachers parents died of grief soon after,English
0,027788_f0161.wav,he said do you think that I am doing good at stupid verses,English
0,027936_c0526 (2).wav,we were talking together near the stall where the elephant sleeps,English
0,028323_arctic_a0122.wav,2 years ago I gave up Civilization for this,English
0,029259_text0909.wav,it also does not look very good,English
0,029393_f0626.wav,but of course this person would have to be chosen carefully he would have to be intelligent enough to follow this magicians instructions as well as make on the spot decisions,English
0,029863_f0260.wav,the thought it is not fair for the king riot to order so for transforming the Babur into a Brahmin,English
0,029906_a0016.wav,despot Churchill rifle shot be on the rich asleep,English
0,030060_engtext_3693.wav,how is it you have become a vehicle for frogs which are our natural food,English
0,030633_d0007.wav,the rabbit was wise and old,English
0,030933_arctic_a0471.wav,I saw Mr Pike not his head grimley and sarcastic Li,English
0,031186_d0695.wav,how do you Aspire to be a Minister when you do not know the principles of diplomacy,English
0,031455_a0015.wav,Kisi aurora borealis,English
