,Filename,text,language
0,ben_0001.wav,Etawah Koi click Kore abre Bahar khole,bengali
0,ben_0002.wav,angreji aka nibandh burrito template Saraswati bebohar Kothe per,bengali
0,ben_0003.wav,Amar ancholik Sangeet Uddin Bangladeshi Sangeet tar Uddin Bangladeshi 2017,bengali
0,ben_0004.wav,Tini Moulik sankha Madhya Bhalo Sampark ko khojen,bengali
0,ben_0005.wav,Bangladeshi Rajdhani Dhaka Shahar Purano Dhaka Ekti aitihasik kila ka,bengali
0,ben_0006.wav,potty following Robertson jontro Woodward corden James Gregory,bengali
0,ben_0007.wav,Karun Itni Jagah Kotha nije bolchi,bengali
0,ben_0008.wav,Jodi Ek Gulo sotti Kotha ke Asha Kori aarop Udan rakhte Babu,bengali
0,ben_0009.wav,agent no active bot theory Kothapalli Khoob Bhalo hai,bengali
0,ben_0010.wav,Cadet College Bangla pedia nibandh,bengali
0,ben_0011.wav,8 K tha Ka Karbonn Baki on show,bengali
0,ben_0012.wav,Akshara ko ek per Chhod Aage tar Upar actor motor boy,bengali
0,ben_0013.wav,Shukra Grah Shuddh jothe ke liye chhod di thi,bengali
0,ben_0014.wav,Ape Auto Aama ke aarop utsahit korbe,bengali
0,ben_0015.wav,prashasak hisab se apni Aro Bhalo bujhte per pen,bengali
0,ben_0016.wav,Bangla Academy of Mughal Mughal,bengali
0,ben_0017.wav,Holi ichcha Thakle ki Chhu joke kurte parchina,bengali
0,ben_0018.wav,aabhar rxt prayog Kare Tanisha Bhavik August Farid estate,bengali
0,ben_0019.wav,Teeny an open-source Shatabdi for Rashida Sundara prabhavit to hue chillin,bengali
0,ben_0020.wav,Sri Anu chai Pari aerocraft chobi,bengali
0,ben_0021.wav,vishwakosh Champa do na asali hi Pratham,bengali
0,ben_0022.wav,angreji Wikipedia onek Chobi fair use Vishay per nibandh Ja project,bengali
0,ben_0023.wav,Tu Hi Apna anuman shatak,bengali
0,ben_0024.wav,Icona Siddhant to niye Shakal sthani Ekti balon prayog Kora uchit,bengali
0,ben_0025.wav,idhar Khadya Annu photo shop,bengali
0,ben_0026.wav,so high ka total active Muslim wishes,bengali
0,ben_0027.wav,Jamun Tu angreji banana,bengali
0,ben_0028.wav,Bharat samantaral chalachitra Abhinetri,bengali
0,ben_0029.wav,Asha Kori Apar 30 8 Ami thakbo na kokhono,bengali
0,ben_0030.wav,Tata Sumo chachi desh ki Chu,bengali
0,ben_0031.wav,Abu show ITI Khoob shimano cars,bengali
0,ben_0032.wav,Ami Chester korbo kivabe Kotha dete parchina,bengali
0,ben_0033.wav,Vishva tea nibandh Jonno Uttam Tukur Tukur,bengali
0,ben_0034.wav,Shikha Neta Updesh Ta chilan bigyani jaj be filled,bengali
0,ben_0035.wav,80c proof Likhit Dharma Granth,bengali
0,ben_0036.wav,ETA besh bikkhato actor project,bengali
0,ben_0037.wav,Jo Tu coronavirus Shivpur John to nibandh Shesh,bengali
0,ben_0038.wav,Karen apni abhi go,bengali
0,ben_0039.wav,tothapi tarsikka Jibon sambandhit Taka bolate ho Na Jaaye,bengali
